Course Name,Course Topic,Course Type,Duration(in hours),Topic OutCome,University Name,Course Delivery Model,Fee Structure (in rupees),Country,State,Website Link
universidad nacional autonoma de mexico,Define and generate Ideas,Short Term Course,9,Learn to apply design thinking for innovative teaching and create projects to transform educational practices.,,Online,2429,Mexico,Mexico City,https://www.coursera.org/learn/designthinking-docencia?action=enroll
universidad nacional autonoma de mexico,Select and Create Ideas,Short Term Course,9,Learn to apply design thinking for innovative teaching and create projects to transform educational practices.,,Online,2429,Mexico,Mexico City,https://www.coursera.org/learn/designthinking-docencia?action=enroll
universidad nacional autonoma de mexico,Test and Refine the proposal,Short Term Course,9,Learn to apply design thinking for innovative teaching and create projects to transform educational practices.,,Online,2429,Mexico,Mexico City,https://www.coursera.org/learn/designthinking-docencia?action=enroll
Design Thinking for Human-Centered IoT Solutions,Introduction to Design Thinking,Degree Course,48,"Learn to apply design thinking to create user-centric industrial IoT solutions through user research, ideation, prototyping, and usability testing.",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-for-human-centered-iot-solutions-course-2?action=enroll
Design Thinking for Human-Centered IoT Solutions,Empathy and User Research in IoT Solutions,Degree Course,48,"Learn to apply design thinking to create user-centric industrial IoT solutions through user research, ideation, prototyping, and usability testing.",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-for-human-centered-iot-solutions-course-2?action=enroll
Design Thinking for Human-Centered IoT Solutions,Defining Problems and Ideation for IoT Application,Degree Course,48,"Learn to apply design thinking to create user-centric industrial IoT solutions through user research, ideation, prototyping, and usability testing.",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-for-human-centered-iot-solutions-course-2?action=enroll
Design Thinking for Human-Centered IoT Solutions,Prototyping and Testing IoT Solutions,Degree Course,48,"Learn to apply design thinking to create user-centric industrial IoT solutions through user research, ideation, prototyping, and usability testing.",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-for-human-centered-iot-solutions-course-2?action=enroll
Design Thinking: Insights to Inspiration,Indights into Design thinking,Degree Course,50,Learn to navigate the design thinking process to solve human-centered problems with strategic research and innovative solutions.,,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration?action=enroll
Design Thinking: Insights to Inspiration,Project Planning,Degree Course,50,Learn to navigate the design thinking process to solve human-centered problems with strategic research and innovative solutions.,,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration?action=enroll
Design Thinking: Insights to Inspiration,The Innovation Mindset,Degree Course,50,Learn to navigate the design thinking process to solve human-centered problems with strategic research and innovative solutions.,,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration?action=enroll
Design Thinking: Insights to Inspiration,If Anything Were Possible,Degree Course,50,Learn to navigate the design thinking process to solve human-centered problems with strategic research and innovative solutions.,,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-insights-to-inspiration?action=enroll
Design Thinking for Innovators,Design Thinking for Innovators,Short Term Course,1,"Prototype Creation
Category: Innovation Strategy Development
Innovation Strategy Development
Category: User Empathy
User Empathy
Category: Design Thinking Application
Design Thinking Application
Category: Problem-Solving Iteration
Problem-Solving Iteration",,Online,2429,Remote,Remote,https://www.coursera.org/learn/design-thinking-for-innovators?action=enroll
Design thinking:Ideas to Action,What if?,Degree Course,60,"Learn to transform insights into actionable solutions, moving from ideation to experimentation in the design thinking process.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-ideas-to-action?action=enroll
Design thinking:Ideas to Action,what wows?,Degree Course,60,"Learn to transform insights into actionable solutions, moving from ideation to experimentation in the design thinking process.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-ideas-to-action?action=enroll
Design thinking:Ideas to Action,what wows to what works,Degree Course,60,"Learn to transform insights into actionable solutions, moving from ideation to experimentation in the design thinking process.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-ideas-to-action?action=enroll
Design thinking:Ideas to Action,what works?,Degree Course,60,"Learn to transform insights into actionable solutions, moving from ideation to experimentation in the design thinking process.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-ideas-to-action?action=enroll
Design thinking:Ideas to Action,what's next?,Degree Course,60,"Learn to transform insights into actionable solutions, moving from ideation to experimentation in the design thinking process.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-design-thinking-ideas-to-action?action=enroll
Experiencing Design: Deepening Your Design Thinking Practice,Understanding the Design Thinking Mindset,Degree Course,62,"Learn to become a design thinker by experiencing the six key phases of the design journey, developing essential behaviors, and gaining insights from industry leaders to unlock the transformational power of design thinking.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-experiencing-design?action=enroll
Experiencing Design: Deepening Your Design Thinking Practice,Exploring the Six Phases of the Design Journey,Degree Course,62,"Learn to become a design thinker by experiencing the six key phases of the design journey, developing essential behaviors, and gaining insights from industry leaders to unlock the transformational power of design thinking.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-experiencing-design?action=enroll
Experiencing Design: Deepening Your Design Thinking Practice,Key Behaviors for Developing Design Competency,Degree Course,62,"Learn to become a design thinker by experiencing the six key phases of the design journey, developing essential behaviors, and gaining insights from industry leaders to unlock the transformational power of design thinking.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-experiencing-design?action=enroll
Experiencing Design: Deepening Your Design Thinking Practice,Industry Insights and Real-World Applications,Degree Course,62,"Learn to become a design thinker by experiencing the six key phases of the design journey, developing essential behaviors, and gaining insights from industry leaders to unlock the transformational power of design thinking.",,Online,13237,United States,virginia,https://www.coursera.org/learn/uva-darden-experiencing-design?action=enroll
Design Thinking for Data Professionals,Human centered Design and Emphathy,Diplomo,27,"User-Centered Design
Category: Design Thinking
Design Thinking",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-data-professionals?action=enroll
Design Thinking for Data Professionals,Phase 1:Research,Diplomo,27,"User-Centered Design
Category: Design Thinking
Design Thinking",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-data-professionals?action=enroll
Design Thinking for Data Professionals,Phase 2: Sympathy,Diplomo,27,"User-Centered Design
Category: Design Thinking
Design Thinking",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-data-professionals?action=enroll
Design Thinking for Data Professionals,Phase 3:Ideation,Diplomo,27,"User-Centered Design
Category: Design Thinking
Design Thinking",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-data-professionals?action=enroll
Design Thinking for Data Professionals,Phase 4:Experimentation,Diplomo,27,"User-Centered Design
Category: Design Thinking
Design Thinking",,Online,8210,India,Karnataka,https://www.coursera.org/learn/design-thinking-data-professionals?action=enroll
Capstone: Design Thinking for IS in Business,Introduction to capstone and Design thinking,Diplomo,27,Analyze the role of design thinking on business transformation. ,,online,8210,United States,Massachusets,https://www.coursera.org/learn/design-thinking-for-is-in-business?action=enroll
Capstone: Design Thinking for IS in Business,Design thinking:Emphatize and Define,Diplomo,27,Analyze the role of design thinking on business transformation. ,,online,8210,United States,Massachusets,https://www.coursera.org/learn/design-thinking-for-is-in-business?action=enroll
Capstone: Design Thinking for IS in Business,Design thinking:ideate and Prototype,Diplomo,27,Analyze the role of design thinking on business transformation. ,,online,8210,United States,Massachusets,https://www.coursera.org/learn/design-thinking-for-is-in-business?action=enroll
Capstone: Design Thinking for IS in Business,Design thinking:Test,Diplomo,27,Analyze the role of design thinking on business transformation. ,,online,8210,United States,Massachusets,https://www.coursera.org/learn/design-thinking-for-is-in-business?action=enroll
Creativity and Design thinking Program,Introduction to Design Thinking,Degree Course,45,Unlock creativity and innovation across your team or company through our comprehensive design thinking courses. Our program equips you with the tools and frameworks to generate fresh ideas and innovative solutions for challenges of all sizes.,,Online,"3,28,066.20",United States,California,https://online.stanford.edu/programs/creativity-and-design-thinking-program
Creativity and Design thinking Program,Achieving Innovation through Inspiration,Degree Course,45,Unlock creativity and innovation across your team or company through our comprehensive design thinking courses. Our program equips you with the tools and frameworks to generate fresh ideas and innovative solutions for challenges of all sizes.,,Online,"3,28,066.20",United States,California,https://online.stanford.edu/programs/creativity-and-design-thinking-program
Creativity and Design thinking Program,Empathize and Prototype: A Hands on Dive into the Key Tools of Design Thinking,Degree Course,45,Unlock creativity and innovation across your team or company through our comprehensive design thinking courses. Our program equips you with the tools and frameworks to generate fresh ideas and innovative solutions for challenges of all sizes.,,Online,"3,28,066.20",United States,California,https://online.stanford.edu/programs/creativity-and-design-thinking-program
Foundations in Design Thinking Certificate,Understanding Customer Needs,Degree Course,50,"Customer Insights,Brainstorming techniques, Interviewing",,Online,"2,50,000",United States,California,https://www.ideou.com/products/design-thinking-certificate
Foundations in Design Thinking Certificate,Human-Centered Solutions,Degree Course,50,"Customer Insights,Brainstorming techniques, Interviewing",,Online,"2,50,000",United States,California,https://www.ideou.com/products/design-thinking-certificate
Foundations in Design Thinking Certificate,Ideation and Development,Degree Course,50,"Customer Insights,Brainstorming techniques, Interviewing",,Online,"2,50,000",United States,California,https://www.ideou.com/products/design-thinking-certificate
Foundations in Design Thinking Certificate,De-Risking New Ideas,Degree Course,50,"Customer Insights,Brainstorming techniques, Interviewing",,Online,"2,50,000",United States,California,https://www.ideou.com/products/design-thinking-certificate
Foundations in Design Thinking Certificate,Showcasing Skills,Degree Course,50,"Customer Insights,Brainstorming techniques, Interviewing",,Online,"2,50,000",United States,California,https://www.ideou.com/products/design-thinking-certificate
Design thinking: The Ultimate guide,Introduction to Design Thinking,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Applying Design Thinking to Problem Solving,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Design Thinking Methods and Templates,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,User-Centric Approach and Culture,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Ethnographic and Analysis Methods,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Prototyping and Testing,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Case Studies and Practical Exercises,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design thinking: The Ultimate guide,Certification and Portfolio Development,Diplomo,27,"Master the Design Thinking Process – Understand key phases and methods of design thinking.

Human-Centered Problem Solving – Develop innovative, user-focused solutions.

Prototyping and Testing Skills – Rapidly prototype and test ideas to reduce risks.

Innovative Work Culture – Foster creativity and innovation in your work environment.

Portfolio Development – Build a portfolio to showcase your design thinking expertise.

Certification – Earn an industry-recognized certificate to enhance career opportunities.",,Online,"16,533",Remote,Remote,https://www.interaction-design.org/courses/design-thinking-the-ultimate-guide
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Introduction to Design Thinking Bootcamp,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Human-Centered Design Techniques,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Hands-On Training and Coaching,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Team Collaboration on Real Projects,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Access to Latest Design Methods from Stanford,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Lectures and Practical Sessions,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
Design Thinking Bootcamp: Make Impact and Drive Growth in Your Organization,Personalized Learning Experience,Certificate,11,"Master Design Thinking Tools

Drive Innovation in Your Organization

Bring New Products, Services, or Experiences to Market

Lifelong Access to Stanford Design Resources

Connect with d.school Alumni Network",,Online,"11,77,000",United States,California,https://www.gsb.stanford.edu/exec-ed/programs/design-thinking-bootcamp
